2005-12-15,Purchase,12.00
2005-12-15,Purchase,15.75
2005-12-15,Purchase,1.25
2005-12-15,Purchase,112.90
2005-12-15,Refund,55.95
2005-12-15,Refund,23.50
2005-12-16,Purchase,612.00
2005-12-16,Refund,233.00
2005-12-16,Purchase,5.72
2005-12-16,Purchase,133.20
2005-12-16,Refund,3.74
2005-12-17,Purchase,12.00
2005-12-17,Purchase,234.00
2005-12-17,Purchase,87.23
2005-12-17,Purchase,8.23
2005-12-17,Purchase,99.99
2005-12-17,Purchase,43.23
2005-12-17,Purchase,89.78
2005-12-17,Refund,234.44
2005-12-17,Refund,13.79
2005-12-17,Purchase,15.71
2005-12-17,Purchase,64.82
